sample_id,sample_name,group,light_intensity,temperature,absorption,light_intensity_group,temperature_group,Sequencing,replicate,PCA_gorup,FvFm,DEG_group,biolrep,FvFM_1,FvFm_measure,,Mesotaenium_endlicherianum
B_1_14,LightIntensity330.3_Temperature17.2_rep1,LightIntensity330.3_Temperature17.2,330.3,17.2,0.32,329.83,17.07,A,1,HL,0.130333333,HLI_MT,11,Treatment,0.145,,Mesotaenium_endlicherianum
B_1_15,LightIntensity132.8_Temperature17_rep1,LightIntensity132.8_Temperature17,132.8,17,0.365,129.6,17.07,A,1,Steady_state,0.47025,MLI_MT,12,Treatment,0.479,,Mesotaenium_endlicherianum
B_1_16,LightIntensity74.9_Temperature16.4_rep1,LightIntensity74.9_Temperature16.4,74.9,16.4,0.353,71.93,17.07,A,1,Steady_state,0.571,MLI_MT,13,Treatment,0.561,,Mesotaenium_endlicherianum
B_1_17,LightIntensity41.3_Temperature16.2_rep1,LightIntensity41.3_Temperature16.2,41.3,16.2,0.331,39.2,17.07,A,1,Steady_state,0.616833333,LLI_MT,14,Control,0.623,,Mesotaenium_endlicherianum
B_1_18,LightIntensity23.3_Temprature16.2_rep1,LightIntensity23.3_Temprature16.2,23.3,16.2,0.413,20.99,17.07,A,1,Steady_state,0.673916667,LLI_MT,15,Control,0.67,,Mesotaenium_endlicherianum
B_1_19,LightIntensity534.7_Temperature21.5_rep1,LightIntensity534.7_Temperature21.5,534.7,21.5,0.356,527.89,20.63,A,1,HL,0.0765,HLI_MT,16,Treatment,0.042,,Mesotaenium_endlicherianum
B_1_20,LightIntensity332.4_Temperature21.2_rep1,LightIntensity332.4_Temperature21.2,332.4,21.2,0.311,329.83,20.63,A,1,HL,0.378,HLI_MT,17,Treatment,0.403,,Mesotaenium_endlicherianum
B_1_21,LightIntensity130.5_Temperature20.7_rep1,LightIntensity130.5_Temperature20.7,130.5,20.7,0.375,129.6,20.63,A,1,Steady_state,0.534,MLI_MT,18,Treatment,0.533,,Mesotaenium_endlicherianum
B_1_22,LightIntensity72.4_Temperature20.1_rep1,LightIntensity72.4_Temperature20.1,72.4,20.1,0.433,71.93,20.63,A,1,Steady_state,0.5995,MLI_MT,19,Treatment,0.597,,Mesotaenium_endlicherianum
B_1_23,LightIntensity40.1_Temperature19.7_rep1,LightIntensity40.1_Temperature19.7,40.1,19.7,0.385,39.2,20.63,A,1,Steady_state,0.625833333,LLI_MT,20,Control,0.635,,Mesotaenium_endlicherianum
B_1_24,LightIntensity21.14_Temprature19.7_rep1,LightIntensity21.14_Temprature19.7,21.14,19.7,0.432,20.99,20.63,A,1,Steady_state,0.662,LLI_MT,21,Control,0.666,,Mesotaenium_endlicherianum
B_1_25,LightIntensity531.9_Temperature24.5_rep1,LightIntensity531.9_Temperature24.5,531.9,24.5,0.25,527.89,23.69,A,1,HL,0.093166667,HLI_MT,22,Treatment,0.045,,Mesotaenium_endlicherianum
B_1_26,LightIntensity324.8_Temperature24.1_rep1,LightIntensity324.8_Temperature24.1,324.8,24.1,0.364,329.83,23.69,A,1,HL,0.36275,HLI_MT,23,Treatment,0.409,,Mesotaenium_endlicherianum
B_1_27,LightIntensity130.3_Temperature23.5_rep1,LightIntensity130.3_Temperature23.5,130.3,23.5,0.389,129.6,23.69,A,1,Steady_state,0.56225,MLI_MT,24,Treatment,0.561,,Mesotaenium_endlicherianum
B_1_28,LightIntensity72.0_Temperature23.2_rep1,LightIntensity72.0_Temperature23.2,72,23.2,0.46,71.93,23.69,A,1,Steady_state,0.610416667,MLI_MT,25,Treatment,0.613,,Mesotaenium_endlicherianum
B_1_29,LightIntensity37.6_Temperature23_rep1,LightIntensity37.6_Temperature23,37.6,23,0.401,39.2,23.69,A,1,Steady_state,0.656416667,LLI_MT,26,Control,0.649,,Mesotaenium_endlicherianum
B_1_30,LightIntensity20.0_Temprature23_rep1,LightIntensity20.0_Temprature23,20,23,0.456,20.99,23.69,A,1,Steady_state,0.679166667,LLI_MT,27,Control,0.678,,Mesotaenium_endlicherianum
